Run	Choice	Total	Excluded	To_process	Other
ERR10298326	partial_excluded	2	0	1	1
ERR10298327	partial_excluded	2	0	1	1
ERR10298328	partial_excluded	2	0	1	1
ERR10298329	partial_excluded	2	0	1	1
ERR10298330	partial_excluded	2	0	1	1
ERR10298331	partial_excluded	2	0	1	1
ERR10298332	partial_excluded	2	0	1	1
ERR10298333	partial_excluded	2	0	1	1
ERR10298334	partial_excluded	2	0	1	1
ERR10298335	partial_excluded	2	0	1	1
ERR10298336	partial_excluded	2	0	1	1
ERR10298337	partial_excluded	2	0	1	1
ERR10298338	partial_excluded	2	0	1	1
ERR10298339	partial_excluded	2	0	1	1
ERR10298340	partial_excluded	2	0	1	1
ERR10298341	partial_excluded	2	0	1	1
ERR10298342	partial_excluded	2	0	1	1
ERR10298343	partial_excluded	2	0	1	1
ERR10298344	partial_excluded	2	0	1	1
ERR10298345	partial_excluded	2	0	1	1
ERR10298346	partial_excluded	2	0	1	1
ERR10298347	partial_excluded	2	0	1	1
ERR10298348	partial_excluded	2	0	1	1
ERR10298349	partial_excluded	2	0	1	1
ERR10298350	partial_excluded	2	0	1	1
ERR10298351	partial_excluded	2	0	1	1
ERR10298354	partial_excluded	2	0	1	1
ERR10298355	partial_excluded	2	0	1	1
ERR10298356	partial_excluded	2	0	1	1
ERR10298357	partial_excluded	2	0	1	1
ERR10298358	partial_excluded	2	0	1	1
ERR10298359	partial_excluded	2	0	1	1
ERR10298360	partial_excluded	2	0	1	1
ERR10298361	partial_excluded	2	0	1	1
ERR10298362	partial_excluded	2	0	1	1
ERR10298363	partial_excluded	2	0	1	1
ERR10298364	partial_excluded	2	0	1	1
ERR10298365	partial_excluded	2	0	1	1
ERR10298366	partial_excluded	2	0	1	1
ERR10298367	partial_excluded	2	0	1	1
ERR10298368	partial_excluded	2	0	1	1
ERR10298369	partial_excluded	2	0	1	1
ERR10298448	partial_excluded	2	0	1	1
ERR10298449	partial_excluded	2	0	1	1
ERR10298450	partial_excluded	2	0	1	1
ERR10298451	partial_excluded	2	0	1	1
ERR10298452	partial_excluded	2	0	1	1
ERR10298453	partial_excluded	2	0	1	1
ERR10298454	partial_excluded	2	0	1	1
ERR10298455	partial_excluded	2	0	1	1
ERR10298456	partial_excluded	2	0	1	1
ERR10298457	partial_excluded	2	0	1	1
ERR10298458	partial_excluded	2	0	1	1
ERR10298459	partial_excluded	2	0	1	1
ERR10298460	partial_excluded	2	0	1	1
ERR10298461	partial_excluded	2	0	1	1
ERR10298462	partial_excluded	2	0	1	1
ERR10298463	partial_excluded	2	0	1	1
ERR10298464	partial_excluded	2	0	1	1
ERR10298465	partial_excluded	2	0	1	1
ERR10298466	partial_excluded	2	0	1	1
ERR10298467	partial_excluded	2	0	1	1
ERR10298468	partial_excluded	2	0	1	1
ERR10298469	partial_excluded	2	0	1	1
ERR10298470	partial_excluded	2	0	1	1
ERR10298553	partial_excluded	2	0	1	1
ERR10298554	partial_excluded	2	0	1	1
ERR10298555	partial_excluded	2	0	1	1
